Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BASE EXCISION REPAIR	3/43	0.015628418185546628	0.9019935185963442	0	0	6.110020661157025	25.409525061052204	SMUG1;PNKP;POLL
LIPOIC ACID METABOLISM	2/19	0.022281123807206628	0.9019935185963442	0	0	9.55603969983055	36.351322420213855	LIPT1;ACSM1
SHIGELLOSIS	7/242	0.02996352543140864	0.9019935185963442	0	0	2.4430538172715894	8.569681774810977	RNF31;CDC42;FNBP1;SEPTIN6;TLN1;CD44;TNFRSF1A
DILATED CARDIOMYOPATHY	4/103	0.03793728028182704	0.9019935185963442	0	0	3.2953602414183325	10.781828846244007	CACNB2;SGCA;DAG1;ADCY4
VIRAL MYOCARDITIS	3/68	0.050895764207581476	0.9019935185963442	0	0	3.7552447552447554	11.183027166078393	SGCA;DAG1;EIF4G1
THYROID HORMONE SYNTHESIS	3/71	0.05654112938156607	0.9019935185963442	0	0	3.589025279533301	10.310504993453812	CREB1;CANX;ADCY4
CYTOSKELETON IN MUSCLE CELLS	6/230	0.06434498654650092	0.9019935185963442	0	0	2.1889196054991036	6.005292744824168	FMNL3;OBSCN;SGCA;DAG1;COL6A3;TLN1
BACTERIAL INVASION OF EPITHELIAL CELLS	3/78	0.07080467738873096	0.9019935185963442	0	0	3.252892561983471	8.613107213889684	CDC42;SEPTIN6;DNM2
ANTIGEN PROCESSING AND PRESENTATION	3/78	0.07080467738873096	0.9019935185963442	0	0	3.252892561983471	8.613107213889684	CREB1;PSME3;CANX
PHOSPHONATE AND PHOSPHINATE METABOLISM	1/6	0.07129385603704776	0.9019935185963442	0	0	16.188524590163933	42.753005111309605	CHPT1
VIRION - FLAVIVIRUS AND ALPHAVIRUS	1/6	0.07129385603704776	0.9019935185963442	0	0	16.188524590163933	42.753005111309605	HAVCR1
NICOTINATE AND NICOTINAMIDE METABOLISM	2/37	0.0752437651650215	0.9019935185963442	0	0	4.637272192827749	11.99672626672966	SIRT5;NUDT13
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY	3/86	0.08886664861641667	0.9019935185963442	0	0	2.9381658866872447	7.112178298919228	CACNB2;SGCA;DAG1
