Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MANNOSE TYPE O-GLYCAN BIOSYNTHESIS	6/23	7.8180089931811E-4	0.25252169047974954	0	0	6.676675854788575	47.76434119746909	B3GALNT2;POMT2;FKRP;CRPPA;RXYLT1;ST3GAL3
ADHERENS JUNCTION	12/92	0.002232160067374002	0.36049385088090136	0	0	2.84518555667001	17.369247594505623	CDC42;AFDN;SLTM;SRC;PARD3;CTNND1;LEF1;TCF7;KRIT1;CTNNB1;FYN;SORBS1
BACTERIAL INVASION OF EPITHELIAL CELLS	10/78	0.005708546036284315	0.6146201232399446	0	0	2.7855796973444034	14.389722314066892	ITGB1;CDC42;SLTM;SRC;SEPTIN2;CLTCL1;SEPTIN6;CTNNB1;PTK2;DNM2
INTEGRIN SIGNALING	15/153	0.010588110982608343	0.7274099904047567	0	0	2.0616087831335843	9.37624521978036	ITGB1;SRC;EGF;IGF1;ITGAE;PTK2;CDC42;DMTF1;PARVG;SLTM;COL6A3;FLNA;CTNNB1;FLNB;TLN1
ALCOHOLIC LIVER DISEASE	14/140	0.011260216569733077	0.7274099904047567	0	0	2.106644332774986	9.451416450383046	C1QA;TCF7;LEF1;ACACA;TIRAP;ADH6;TNFRSF1A;CAMKK2;IKBKB;CASP8;IRF3;CTNNB1;MAP2K7;IKBKE
RAP1 SIGNALING PATHWAY	18/210	0.019994981750140955	0.8809524430513305	0	0	1.778411957618567	6.957634773101299	ITGB1;SRC;EGF;CTNND1;ADCY4;IGF1;RASGRP3;CDC42;AFDN;SIPA1L1;SLTM;PARD3;KIT;KRIT1;PLCE1;CTNNB1;TLN1;RAPGEF3
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY	9/86	0.029170217331376678	0.8809524430513305	0	0	2.2107272727272727	7.814052191915959	ITGB1;CACNB2;SGCA;LEF1;TCF7;DAG1;CACNA2D2;CTNNB1;SLC8A1
MITOPHAGY - ANIMAL	10/101	0.031187555724757725	0.8809524430513305	0	0	2.079002079002079	7.209430600220826	MED12;RABGEF1;RHOT2;PINK1;RHOT1;MTX1;SRC;ATG9A;AMBRA1;TBC1D15
VIRION - FLAVIVIRUS AND ALPHAVIRUS	2/6	0.033302340312118026	0.8809524430513305	0	0	9.427507447864945	32.073583333046834	MXRA8;HAVCR1
NICOTINATE AND NICOTINAMIDE METABOLISM	5/37	0.03698086345261099	0.8809524430513305	0	0	2.9505415836653386	9.728982170593246	NAPRT;SARM1;SIRT5;NUDT13;SIRT3
ANTIGEN PROCESSING AND PRESENTATION	8/78	0.04258967607174722	0.8809524430513305	0	0	2.1602397602397603	6.81802646345008	CREB1;PSME3;CANX;RFXANK;HLA-A;HLA-DOB;CTSB;TAPBP
GLYCOSPHINGOLIPID BIOSYNTHESIS - GLOBO AND ISOGLOBO SERIES	3/16	0.04384567941131322	0.8809524430513305	0	0	4.353417953815568	13.613482280038642	ST3GAL1;ABO;GBGT1
FANCONI ANEMIA PATHWAY	6/53	0.04970281230452404	0.8809524430513305	0	0	2.411149530133005	7.237532503551342	FANCA;FAAP24;FANCE;FAN1;FANCG;FAAP100
HIPPO SIGNALING PATHWAY	13/155	0.050132397408312226	0.8809524430513305	0	0	1.7325428474461224	5.185652903026774	TEAD4;YWHAB;TCF7;LEF1;CSNK1E;FRMD1;DLG1;PARD3;CTNNB1;BTRC;LLGL1;TEAD2;LLGL2
VIRAL MYOCARDITIS	7/68	0.05490085225790194	0.8809524430513305	0	0	2.1679591636399334	6.2919083335013655	CASP8;SGCA;DAG1;FYN;HLA-A;HLA-DOB;EIF4G1
HIPPO SIGNALING PATHWAY - MULTIPLE SPECIES	4/29	0.05611383228418238	0.8809524430513305	0	0	3.0194626865671643	8.697178591768782	TEAD4;CSNK1E;TEAD2;FRMD1
N-GLYCAN BIOSYNTHESIS	6/55	0.057751218505970585	0.8809524430513305	0	0	2.312491098134169	6.59432466002403	ALG8;ST6GAL1;MAN2A2;MAN1C1;ALG3;MOGS
MOTOR PROTEINS	15/190	0.05782058013052266	0.8809524430513305	0	0	1.6225352112676057	4.62489141751022	DNAH3;DYNC1I2;DNAH1;DNAH7;DCTN2;STARD9;MYO7B;KIF12;MYO7A;KIF22;KIF3A;MYO5B;MYO6;KIF13A;KIF20A
VASOPRESSIN-REGULATED WATER REABSORPTION	5/43	0.06399780301692483	0.8809524430513305	0	0	2.483880268400084	6.82795467481927	DYNC1I2;CREB1;DCTN2;AQP3;RAB11A
SHIGELLOSIS	18/242	0.06500717076845282	0.8809524430513305	0	0	1.521758324924319	4.159357652528879	ITGB1;RNF31;FNBP1;SEPTIN2;SRC;SEPTIN6;U2AF1;PTK2;TNFRSF1A;IKBKB;CDC42;IRF3;RPS6KB1;CASP1;PLCE1;BTRC;TLN1;CD44
SALMONELLA INFECTION	18/244	0.06916522240926055	0.8809524430513305	0	0	1.50813069840958	4.028604849469152	CYFIP1;DYNC1I2;DCTN2;TCF7;LEF1;TIRAP;DNM2;TNFRSF1A;IKBKB;CDC42;CASP7;PTPRC;CASP8;MYO6;CASP1;FLNA;CTNNB1;MAP2K7
HUMAN PAPILLOMAVIRUS INFECTION	23/328	0.07007582370469505	0.8809524430513305	0	0	1.4291158181757724	3.798843408993215	ITGB1;EGF;TCF7;PPP2R5D;HLA-A;PPP2R5C;RBPJ;PTK2;TNFRSF1A;IKBKB;CDC42;DLG1;CASP8;CREB1;IRF3;RPS6KB1;CCNE1;PARD3;CTNNB1;COL6A3;IKBKE;LLGL1;LLGL2
GLYCEROPHOSPHOLIPID METABOLISM	9/102	0.0722833052297803	0.8809524430513305	0	0	1.8288387096774195	4.8046557197774185	PLA2G15;ACHE;LPGAT1;CHKB;TAFAZZIN;DGKA;CHPT1;PLA2G6;DGKZ
HERPES SIMPLEX VIRUS 1 INFECTION	14/181	0.07442407297626852	0.8809524430513305	0	0	1.5859898293864532	4.120363240150433	EIF2B5;IFNGR1;SRC;PILRB;HLA-A;EIF2AK4;TNFRSF1A;TAPBP;IKBKB;CASP8;IRF3;SRSF2;HLA-DOB;IKBKE
TNF SIGNALING PATHWAY	10/118	0.0748398791917913	0.8809524430513305	0	0	1.7501761020279538	4.53716421331601	IKBKB;RHBDF1;CASP7;CASP8;CREB1;CASP10;XIAP;MAP2K7;DNM1L;TNFRSF1A
APOPTOSIS - MULTIPLE SPECIES	4/32	0.07558672469075157	0.8809524430513305	0	0	2.6955223880597017	6.961118129318997	CASP7;CASP8;XIAP;TNFRSF1A
LIPID AND ATHEROSCLEROSIS	16/214	0.0756851975717469	0.8809524430513305	0	0	1.5293315837122483	3.9474688999747256	SRC;MIB2;VLDLR;PTK2;TIRAP;TNFRSF1A;IKBKB;CDC42;CASP7;CYP2B6;CASP8;IRF3;CASP1;ARHGEF1;MAP2K7;IKBKE
PATHOGENIC ESCHERICHIA COLI INFECTION	15/198	0.07651041564619035	0.8809524430513305	0	0	1.5509450143483854	3.986438009742103	ITGB1;CYFIP1;SRC;TIRAP;TNFRSF1A;IKBKB;CDC42;CASP7;CASP8;MYO5B;MYO6;CASP1;ARHGEF1;TMBIM6;FYN
FOCAL ADHESION	15/199	0.07909480138850955	0.8809524430513305	0	0	1.5424339515352987	3.9133217159366303	ITGB1;SRC;EGF;XIAP;IGF1;PTK2;CDC42;PARVG;SLTM;FLNA;CTNNB1;COL6A3;FLNB;FYN;TLN1
AMPK SIGNALING PATHWAY	10/121	0.08523410076328995	0.9176871515514219	0	0	1.7026035044053063	4.192412007245387	PFKL;CREB1;RPS6KB1;PPP2R5D;IGF1;PPP2R5C;CFTR;ACACA;PFKP;CAMKK2
CIRCADIAN RHYTHM	4/34	0.09021370483625711	0.935223523716314	0	0	2.5155555555555558	6.051354851678744	CREB1;CSNK1E;BTRC;BMAL1
FRUCTOSE AND MANNOSE METABOLISM	4/35	0.09799748675200444	0.935223523716314	0	0	2.4342802118440057	5.654378807471445	PFKL;TKFC;FCSK;PFKP
ATP-DEPENDENT CHROMATIN REMODELING	9/110	0.10376646181387603	0.935223523716314	0	0	1.6832673267326732	3.813631436316062	INO80C;MORF4L1;SS18;INO80E;ING3;MORF4L2;DPEP2;MACROH2A1;SMARCA2
ENDOCRINE AND OTHER FACTOR-REGULATED CALCIUM REABSORPTION	5/50	0.1063451418412933	0.935223523716314	0	0	2.096724214254095	4.698896130231658	CLTCL1;ATP2B4;SLC8A1;RAB11A;DNM2
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	4/37	0.11445839900583415	0.935223523716314	0	0	2.286506859641188	4.956103880379864	UGP2;GNPDA1;FCSK;PGM3
CYTOSOLIC DNA-SENSING PATHWAY	7/82	0.1195677429532905	0.935223523716314	0	0	1.761969394544245	3.7421977818884726	IKBKB;ZBP1;CASP7;CASP8;IRF3;CASP1;IKBKE
POLYCOMB REPRESSIVE COMPLEX	7/82	0.1195677429532905	0.935223523716314	0	0	1.761969394544245	3.7421977818884726	MAGI1;L3MBTL1;SFMBT1;PCGF3;LCOR;FBRS;EZH1
VIRION - EBOLAVIRUS, LYSSAVIRUS AND MORBILLIVIRUS	2/12	0.12009725522824669	0.935223523716314	0	0	3.769811320754717	7.989939437003951	CD46;SLAMF1
ACUTE MYELOID LEUKEMIA	6/67	0.12129750785845979	0.935223523716314	0	0	1.8563980190575813	3.9160883445924335	IKBKB;RPS6KB1;KIT;TCF7;LEF1;RUNX1T1
NON-HOMOLOGOUS END-JOINING	2/13	0.13737967392899186	0.935223523716314	0	0	3.4269206463844	6.80246093587666	POLM;POLL
TIGHT JUNCTION	12/169	0.14709219591461317	0.935223523716314	0	0	1.44387302033489	2.767465217663397	ITGB1;CDC42;AFDN;DLG1;SRC;PARD3;NEDD4L;CD1D;MAP2K7;LLGL1;CFTR;LLGL2
RIG-I-LIKE RECEPTOR SIGNALING PATHWAY	6/71	0.14795002051432043	0.935223523716314	0	0	1.7417900145716696	3.3283530293809016	IKBKB;CASP8;TKFC;IRF3;CASP10;IKBKE
DILATED CARDIOMYOPATHY	8/103	0.14881565544808043	0.935223523716314	0	0	1.5896524528103475	3.0283625580149254	ITGB1;CACNB2;SGCA;DAG1;ADCY4;CACNA2D2;IGF1;SLC8A1
PROSTATE CANCER	8/103	0.14881565544808043	0.935223523716314	0	0	1.5896524528103475	3.0283625580149254	IKBKB;CREB1;CCNE1;EGF;TCF7;LEF1;CTNNB1;IGF1
FERROPTOSIS	4/41	0.1506478986344158	0.935223523716314	0	0	2.038886647841872	3.859224958755838	ALOX15;ACSL3;ATG7;SLC39A14
HEDGEHOG SIGNALING PATHWAY	5/56	0.15112167766218612	0.935223523716314	0	0	1.849464885555816	3.4948782258182103	KIF3A;CSNK1E;GLI1;BTRC;DISP1
GLYCOSAMINOGLYCAN BIOSYNTHESIS - KERATAN SULFATE	2/14	0.155158999181163	0.935223523716314	0	0	3.1411784177424695	5.852973095677442	ST3GAL1;ST3GAL3
OTHER TYPES OF O-GLYCAN BIOSYNTHESIS	4/43	0.17018434786722103	0.935223523716314	0	0	1.934124250542161	3.4250884724357697	POMT2;GALNT6;ST6GAL1;ST3GAL3
BASE EXCISION REPAIR	4/43	0.17018434786722103	0.935223523716314	0	0	1.934124250542161	3.4250884724357697	SMUG1;PNKP;POLL;NEIL1
EFFEROCYTOSIS	11/157	0.1701962844610297	0.935223523716314	0	0	1.4226741153539957	2.5192754399904693	PLA2G15;C1QA;CASP7;CREB1;ALOX15;CASP1;ATP11B;PLA2G6;HAVCR1;ANO5;PTK2
